ODInvertebres;v1.0.2;2026-03-13;Temps d'execution :;3.78mins
CODE_STATION;DATE;CODE_OPERATION;MATIERES_ORGANIQUES;MATIERES_PHOSPHOREES;MATIERES_AZOTEES;NITRATES;HAP;PESTICIDES;RIPISYLVE;VOIES_COMMUNICATION;URBANISATION_100M;RISQUE_COLMATAGE;INSTABILITE_HYDROLOGIQUE;ANTHROPISATION_BV
03174615;21/08/2024;031746152024082113;0.3365;0.3405;0.319;0.6979;0.7787;0.5996;0.5332;0.3154;0.6589;0.6222;0.6729;0.774
03174678;26/05/2013;031746782013052613;0.4575;0.5058;0.5024;0.6438;0.7875;0.8416;0.5578;0.3054;0.5092;0.5383;0.6973;0.927
03174678;21/08/2014;031746782014082113;0.624;0.6033;0.5609;0.5404;0.6856;0.7297;0.5447;0.4935;0.5456;0.5452;0.7055;0.8238
03174695;23/04/2010;031746952010042313;0.4365;0.3994;0.2365;0.6263;0.6314;0.7407;0.5926;0.2813;0.4926;0.5699;0.6247;0.8316
03174695;29/09/2011;031746952011092913;0.4493;0.1833;0.0917;0.7048;0.3734;0.8513;0.6969;0.1086;0.2531;0.5649;0.5984;0.8898
03174695;27/08/2012;031746952012082713;0.3521;0.123;0.0416;0.6381;0.4802;0.8188;0.6238;0.1453;0.2882;0.4978;0.5742;0.8886
03174695;07/08/2013;031746952013080713;0.2342;0.061;0.0231;0.6822;0.5675;0.8721;0.6534;0.0681;0.2569;0.5346;0.5321;0.9526
03174695;21/08/2014;031746952014082113;0.4614;0.241;0.1356;0.6382;0.478;0.7995;0.5619;0.1888;0.3718;0.5672;0.6173;0.8892
03174695;29/07/2015;031746952015072913;0.5185;0.1754;0.0765;0.6373;0.4042;0.7722;0.5924;0.1695;0.3426;0.5117;0.5471;0.8655
03174695;18/08/2016;031746952016081813;0.5246;0.207;0.0756;0.6766;0.3138;0.8204;0.6415;0.1398;0.2587;0.582;0.6217;0.8864
03174695;06/07/2017;031746952017070613;0.5696;0.3085;0.1924;0.6305;0.3079;0.8858;0.6708;0.1886;0.2703;0.4995;0.6077;0.8232
03174695;19/06/2018;031746952018061913;0.607;0.5027;0.4051;0.5537;0.4054;0.7605;0.5711;0.3287;0.4353;0.5118;0.6773;0.8496
03174695;06/08/2019;031746952019080613;0.5497;0.3784;0.1587;0.6271;0.3857;0.897;0.7119;0.2307;0.3282;0.5195;0.5802;0.8913
03174695;27/05/2020;031746952020052713;0.5425;0.2246;0.1286;0.6237;0.3397;0.7982;0.6537;0.2103;0.3498;0.5479;0.6081;0.8793
03174695;18/08/2021;031746952021081813;0.6118;0.5427;0.3936;0.6234;0.449;0.8192;0.6132;0.2675;0.4073;0.584;0.6828;0.9255
03174695;15/06/2022;031746952022061513;0.6204;0.5261;0.445;0.545;0.4021;0.6197;0.5514;0.4841;0.509;0.5445;0.7011;0.7208
03174695;22/06/2023;031746952023062213;0.5039;0.3359;0.2057;0.6079;0.4127;0.6968;0.5799;0.4624;0.5159;0.5506;0.6265;0.8419
03174695;18/09/2024;031746952024091813;0.6239;0.3917;0.2086;0.6261;0.363;0.8852;0.6473;0.131;0.2659;0.6019;0.6785;0.871
03174712;26/09/2013;031747122013092613;0.2685;0.1809;0.1244;0.7477;0.6472;0.5758;0.6308;0.1905;0.4508;0.5989;0.6248;0.7771
03174712;21/08/2014;031747122014082113;0.3005;0.2339;0.2192;0.7534;0.5938;0.6507;0.6485;0.2757;0.4509;0.6217;0.708;0.8376
03174712;28/05/2019;031747122019052813;0.2802;0.2356;0.1157;0.7996;0.6107;0.5609;0.6057;0.2522;0.5457;0.7013;0.6252;0.812
03174715;03/09/2013;031747152013090313;0.286;0.1513;0.1041;0.8306;0.673;0.8585;0.702;0.1348;0.397;0.5359;0.3011;0.9679
03174715;20/08/2014;031747152014082013;0.2854;0.1522;0.0732;0.747;0.5079;0.8104;0.7066;0.1386;0.303;0.5019;0.3467;0.9324
03174715;29/05/2019;031747152019052913;0.311;0.2299;0.1673;0.5928;0.5269;0.7875;0.6291;0.3362;0.5093;0.5016;0.6032;0.8564
03174748;03/09/2013;031747482013090313;0.4206;0.3726;0.2175;0.4636;0.6294;0.6933;0.6205;0.3989;0.5412;0.4807;0.584;0.8407
03174748;20/08/2014;031747482014082013;0.3733;0.2162;0.0813;0.5108;0.6056;0.7766;0.7311;0.1814;0.3297;0.48;0.4459;0.9137
03174748;29/05/2019;031747482019052913;0.1834;0.0884;0.0577;0.7879;0.7622;0.7879;0.6908;0.188;0.5021;0.6329;0.5273;0.9075
03174748;21/08/2024;031747482024082113;0.1676;0.1904;0.1835;0.6386;0.8004;0.7739;0.5847;0.1951;0.5794;0.5547;0.6361;0.9157
03174795;22/07/2013;031747952013072213;0.504;0.4594;0.1911;0.9175;0.7207;0.7521;0.7537;0.1143;0.542;0.7499;0.3301;0.9354
03174795;20/08/2014;031747952014082013;0.2592;0.1943;0.1711;0.7852;0.6452;0.9065;0.7289;0.1875;0.4637;0.5768;0.4105;0.9292
03174795;29/05/2019;031747952019052913;0.5204;0.1829;0.1153;0.6832;0.3153;0.7959;0.6499;0.1126;0.3761;0.626;0.552;0.934
03174815;30/05/2019;031748152019053013;0.1233;0.1624;0.11;0.6452;0.7578;0.7711;0.5808;0.2416;0.5617;0.608;0.6751;0.9089
03174825;23/04/2010;031748252010042313;0.2123;0.5235;0.4288;0.9121;0.9424;0.8953;0.6737;0.1928;0.7523;0.7926;0.5718;0.9791
03174825;29/06/2011;031748252011062913;0.5153;0.6091;0.5499;0.8547;0.9228;0.8705;0.6345;0.2457;0.6462;0.7162;0.6205;0.9617
03174825;28/08/2012;031748252012082813;0.4874;0.5981;0.5061;0.8827;0.8729;0.866;0.7054;0.2632;0.7298;0.7817;0.5346;0.9531
03174825;06/08/2013;031748252013080613;0.404;0.5819;0.3885;0.8401;0.8887;0.8886;0.8292;0.2404;0.6685;0.7279;0.4692;0.9678
03174825;31/07/2014;031748252014073113;0.2906;0.5171;0.3242;0.8866;0.8114;0.824;0.7358;0.3123;0.6909;0.7371;0.5021;0.8913
03174825;08/09/2016;031748252016090813;0.2968;0.377;0.1721;0.7624;0.7363;0.8214;0.7351;0.2089;0.589;0.5997;0.4874;0.8245
03174825;30/05/2019;031748252019053013;0.336;0.5663;0.5146;0.8289;0.9249;0.8533;0.6361;0.3172;0.7328;0.7375;0.619;0.9753
03174825;03/06/2021;031748252021060313;0.4046;0.5493;0.5203;0.7643;0.8551;0.8366;0.7047;0.3548;0.6666;0.6391;0.6071;0.9447
03174825;18/09/2024;031748252024091813;0.5354;0.6222;0.5825;0.8226;0.8871;0.8647;0.5785;0.4059;0.7672;0.6389;0.6509;0.9509
03174837;23/07/2013;031748372013072313;0.1235;0.1123;0.0431;0.9747;0.8133;0.7092;0.547;0.1036;0.6458;0.8675;0.39;0.9914
03174837;19/08/2014;031748372014081913;0.0929;0.069;0.016;0.9319;0.7592;0.8282;0.6957;0.1727;0.5056;0.7235;0.1246;0.9758
03174875;22/07/2013;031748752013072213;0.7813;0.7127;0.7535;0.5522;0.5927;0.787;0.8758;0.4407;0.6348;0.5644;0.4625;0.7574
03174875;30/05/2019;031748752019053013;0.7037;0.6321;0.5683;0.6601;0.5881;0.8142;0.5725;0.3155;0.5914;0.5725;0.5023;0.826
03175000;26/04/2010;031750002010042613;0.1174;0.1099;0.0174;0.9082;0.7638;0.7247;0.7015;0.0857;0.4829;0.8107;0.2518;0.9682
03175000;28/07/2011;031750002011072813;0.0507;0.1046;0.0178;0.9507;0.7909;0.334;0.6741;0.1127;0.3043;0.8187;0.1355;0.8666
03175000;28/08/2012;031750002012082813;0.1108;0.1207;0.0422;0.9625;0.6316;0.7234;0.684;0.1092;0.2507;0.8422;0.082;0.9118
03175000;06/08/2013;031750002013080613;0.0488;0.0895;0.0132;0.9881;0.7969;0.821;0.7709;0.0508;0.4026;0.8841;0.0872;0.9505
03175000;19/08/2014;031750002014081913;0.0651;0.0664;0.0343;0.9763;0.6709;0.774;0.7;0.0958;0.3584;0.8304;0.0598;0.9261
03175000;28/07/2015;031750002015072813;0.0547;0.0592;0.022;0.9758;0.7237;0.8578;0.6916;0.0947;0.3794;0.828;0.0646;0.9445
03175000;18/08/2016;031750002016081813;0.0475;0.037;0.0085;0.9277;0.7214;0.7862;0.7219;0.0738;0.2559;0.7417;0.0757;0.9665
03175000;05/07/2017;031750002017070513;0.063;0.0627;0.0225;0.9144;0.6057;0.8063;0.6952;0.0611;0.2971;0.7444;0.2106;0.9348
03175000;18/06/2018;031750002018061813;0.1056;0.0789;0.0181;0.9295;0.7739;0.8083;0.5892;0.1059;0.5088;0.7929;0.1967;0.9242
03175000;07/08/2019;031750002019080713;0.0752;0.0791;0.0118;0.9346;0.6785;0.7679;0.6636;0.1015;0.3472;0.6966;0.0944;0.9228
03175000;28/07/2020;031750002020072813;0.1119;0.106;0.0346;0.8835;0.6592;0.7168;0.6556;0.188;0.3651;0.6272;0.1317;0.879
03175000;18/08/2021;031750002021081813;0.1253;0.1301;0.0339;0.8752;0.7453;0.7378;0.6805;0.1427;0.434;0.6837;0.1253;0.8591
03175000;15/06/2022;031750002022061513;0.0603;0.0449;0.02;0.8869;0.7052;0.7983;0.6967;0.0723;0.3256;0.6106;0.0957;0.9156
03175000;22/06/2023;031750002023062213;0.1075;0.1144;0.0435;0.819;0.6375;0.7707;0.6586;0.1251;0.2882;0.6498;0.1308;0.8266
03175000;22/08/2024;031750002024082213;0.0884;0.0614;0.0347;0.9068;0.7731;0.8203;0.6617;0.0683;0.417;0.7493;0.1835;0.9346
03176473;17/07/2013;031764732013071713;0.1793;0.173;0.0653;0.9786;0.8604;0.7964;0.5347;0.0904;0.6012;0.9539;0.5623;0.9736
03176473;20/08/2014;031764732014082013;0.1508;0.1502;0.0549;0.968;0.7468;0.8354;0.4487;0.098;0.5984;0.9172;0.5028;0.9821
03176825;07/08/2019;031768252019080713;0.1465;0.0553;0.0514;0.6811;0.6328;0.4659;0.5016;0.2065;0.64;0.4621;0.5233;0.5334
03176850;11/07/2013;031768502013071113;0.1173;0.0516;0.0224;0.915;0.8252;0.545;0.6361;0.057;0.7156;0.9082;0.568;0.8808
03176850;21/08/2014;031768502014082113;0.0732;0.1052;0.0311;0.7995;0.7258;0.5338;0.5863;0.0841;0.6416;0.7579;0.5359;0.7407
03176880;11/08/2010;031768802010081113;0.5243;0.6698;0.5303;0.8254;0.8112;0.9159;0.7853;0.3339;0.7501;0.7153;0.4369;0.9811
03176880;21/07/2011;031768802011072113;0.5208;0.689;0.5891;0.7387;0.8255;0.8896;0.7918;0.4857;0.807;0.6469;0.5859;0.9666
03176880;06/08/2013;031768802013080613;0.5374;0.7559;0.6829;0.815;0.947;0.9776;0.8313;0.2077;0.7802;0.7319;0.475;0.9867
03176880;21/08/2014;031768802014082113;0.5184;0.7431;0.5942;0.9035;0.9625;0.9683;0.7939;0.1645;0.7103;0.7914;0.4634;0.9954
03176880;09/07/2019;031768802019070913;0.4471;0.6158;0.5594;0.7913;0.8388;0.8692;0.7085;0.2998;0.7311;0.732;0.5392;0.912
03176945;16/06/2010;031769452010061613;0.3485;0.2757;0.1725;0.8541;0.8343;0.5502;0.6215;0.1348;0.6054;0.8356;0.5953;0.9157
03176945;02/08/2011;031769452011080213;0.2547;0.303;0.157;0.9157;0.8502;0.5697;0.7288;0.1594;0.6299;0.9402;0.5453;0.9538
03176945;28/08/2012;031769452012082813;0.2577;0.3797;0.2919;0.8053;0.8075;0.6042;0.7247;0.2446;0.5638;0.8886;0.458;0.9082
03176945;16/07/2013;031769452013071613;0.4214;0.4048;0.3611;0.7622;0.7713;0.4833;0.6466;0.1382;0.5845;0.8881;0.5323;0.9189
03176945;20/08/2014;031769452014082013;0.3521;0.2494;0.163;0.7356;0.7278;0.4588;0.6141;0.1323;0.6137;0.8221;0.5772;0.8263
03176945;28/07/2015;031769452015072813;0.1062;0.0751;0.0261;0.8729;0.8585;0.5904;0.713;0.0653;0.704;0.8968;0.6081;0.9452
03176945;19/08/2016;031769452016081913;0.2521;0.1872;0.1091;0.904;0.7643;0.4754;0.6234;0.1658;0.6732;0.9088;0.5922;0.9361
03176945;05/07/2017;031769452017070513;0.1297;0.1376;0.0503;0.9651;0.7859;0.7073;0.7088;0.093;0.6897;0.9461;0.6737;0.9678
03176945;24/06/2018;031769452018062413;0.2794;0.2163;0.1203;0.8182;0.6714;0.5134;0.5711;0.2111;0.6628;0.798;0.5967;0.8267
03176945;08/08/2019;031769452019080813;0.1073;0.0751;0.0571;0.9059;0.7963;0.4775;0.6707;0.1251;0.6689;0.9266;0.513;0.9307
03176945;07/09/2020;031769452020090713;0.0704;0.0953;0.0368;0.8101;0.7356;0.4495;0.6368;0.083;0.6004;0.7321;0.5064;0.811
03176945;21/04/2021;031769452021042113;0.1892;0.0788;0.0346;0.916;0.7987;0.4584;0.5384;0.0906;0.582;0.9115;0.5797;0.904
03176945;16/06/2022;031769452022061613;0.169;0.0749;0.0225;0.868;0.7571;0.4114;0.6338;0.0875;0.6127;0.8654;0.5596;0.847
03176945;21/06/2023;031769452023062113;0.1173;0.0573;0.036;0.8975;0.7365;0.458;0.5907;0.05;0.5529;0.9041;0.574;0.9049
03176945;18/09/2024;031769452024091813;0.2286;0.102;0.0334;0.8399;0.6814;0.4066;0.5356;0.1205;0.5041;0.7129;0.5288;0.7704
03178000;11/08/2010;031780002010081113;0.1095;0.1864;0.0684;0.8629;0.5246;0.7254;0.4832;0.1924;0.5091;0.8036;0.564;0.888
03178000;02/08/2011;031780002011080213;0.0602;0.0929;0.021;0.9839;0.7215;0.8786;0.3799;0.0886;0.7028;0.9263;0.2173;0.9452
03178000;27/08/2012;031780002012082713;0.1321;0.1029;0.0543;0.8987;0.4947;0.7678;0.3448;0.0997;0.5782;0.9285;0.2902;0.9439
03178000;15/07/2013;031780002013071513;0.0794;0.1186;0.047;0.9073;0.6114;0.7644;0.2455;0.1606;0.8015;0.8667;0.3986;0.9411
03178000;18/08/2014;031780002014081813;0.2071;0.2527;0.1657;0.7132;0.5249;0.588;0.414;0.3647;0.5809;0.6904;0.4794;0.7458
03178000;27/07/2015;031780002015072713;0.0658;0.0559;0.0429;0.9383;0.6508;0.8512;0.5098;0.1253;0.5254;0.8351;0.2102;0.9538
03178000;20/09/2016;031780002016092013;0.0491;0.0433;0.0184;0.9299;0.5872;0.5498;0.5638;0.0546;0.2448;0.7121;0.1431;0.9069
03178000;04/07/2017;031780002017070413;0.0527;0.0623;0.0121;0.8784;0.6228;0.7851;0.3971;0.1045;0.5225;0.7953;0.2693;0.9054
03178000;18/06/2018;031780002018061813;0.2504;0.1284;0.0699;0.7944;0.4526;0.6188;0.3655;0.226;0.4297;0.749;0.4147;0.6675
03178000;20/08/2019;031780002019082013;0.1767;0.1002;0.0539;0.8358;0.5153;0.6922;0.4546;0.1209;0.3644;0.7864;0.3651;0.8476
03178000;22/04/2021;031780002021042213;0.1103;0.077;0.0455;0.8928;0.5196;0.4943;0.3897;0.1824;0.4519;0.749;0.315;0.808
03178000;16/06/2022;031780002022061613;0.111;0.0548;0.0181;0.8243;0.5078;0.7008;0.3823;0.1297;0.3515;0.7573;0.2186;0.863
03178000;18/05/2023;031780002023051813;0.1159;0.0647;0.0385;0.8021;0.4365;0.6669;0.4885;0.1517;0.2876;0.6955;0.2476;0.83
03178000;19/09/2024;031780002024091913;0.1011;0.1045;0.0876;0.6794;0.4424;0.6369;0.5692;0.1387;0.2721;0.6387;0.3865;0.8335
03178319;31/07/2014;031783192014073113;0.5297;0.5451;0.5091;0.7436;0.6961;0.6716;0.5796;0.308;0.6215;0.6541;0.6288;0.8133
03178319;08/07/2015;031783192015070813;0.5745;0.565;0.5189;0.6853;0.6459;0.7391;0.6246;0.3378;0.5788;0.5978;0.6514;0.7785
03178319;03/10/2019;031783192019100313;0.5264;0.49;0.2686;0.6109;0.5661;0.6357;0.5395;0.2799;0.511;0.5015;0.6702;0.6548
03178325;18/08/2021;031783252021081813;0.5402;0.5869;0.5239;0.7573;0.8838;0.8662;0.5155;0.2847;0.6282;0.6652;0.6855;0.954
03178325;18/07/2024;031783252024071813;0.5793;0.585;0.5058;0.7762;0.8055;0.8748;0.6686;0.1385;0.5083;0.6581;0.5942;0.8928
03178348;31/07/2014;031783482014073113;0.5597;0.5486;0.5298;0.7191;0.7928;0.736;0.6153;0.2233;0.5559;0.6624;0.6001;0.7843
03178348;20/08/2021;031783482021082013;0.5282;0.5634;0.5435;0.7748;0.9093;0.8854;0.6014;0.2495;0.6449;0.6479;0.6213;0.9398
03178348;17/07/2024;031783482024071713;0.6898;0.6987;0.72;0.4779;0.6248;0.6705;0.5121;0.5404;0.6954;0.4893;0.7498;0.6482
03178469;30/07/2014;031784692014073013;0.496;0.3422;0.5086;0.4872;0.6561;0.6467;0.5159;0.4867;0.6818;0.46;0.5942;0.648
03178469;08/07/2015;031784692015070813;0.2774;0.2562;0.3031;0.4712;0.5819;0.7141;0.5071;0.448;0.6641;0.4648;0.6345;0.5855
03178469;07/08/2019;031784692019080713;0.5385;0.5631;0.5727;0.6118;0.7809;0.7604;0.5379;0.4837;0.6802;0.5896;0.6388;0.7576
03178469;17/07/2024;031784692024071713;0.4593;0.544;0.5387;0.6345;0.8747;0.8146;0.5574;0.4354;0.6831;0.5595;0.6758;0.9105
03178520;16/06/2010;031785202010061613;0.1188;0.1339;0.0467;0.8376;0.6623;0.4556;0.6532;0.1627;0.6273;0.6935;0.5176;0.7859
03178520;30/08/2012;031785202012083013;0.125;0.0445;0.0439;0.8269;0.7006;0.3339;0.5516;0.1075;0.5215;0.7402;0.5158;0.7707
03178520;30/07/2014;031785202014073013;0.1325;0.0537;0.0186;0.8521;0.7781;0.4774;0.4847;0.0549;0.4732;0.8591;0.6045;0.8931
03178520;17/08/2016;031785202016081713;0.0917;0.0367;0.0245;0.7676;0.6371;0.5198;0.5512;0.0721;0.4285;0.5806;0.3195;0.828
03178520;20/08/2021;031785202021082013;0.0914;0.0467;0.0178;0.9003;0.6779;0.4643;0.6515;0.0314;0.4063;0.7348;0.426;0.8321
03178520;17/07/2024;031785202024071713;0.0834;0.0473;0.0201;0.8512;0.6477;0.5041;0.6;0.0272;0.3676;0.6483;0.4092;0.8211
03178660;06/08/2013;031786602013080613;0.0599;0.0223;0.0133;0.6379;0.6038;0.4211;0.6206;0.0545;0.2767;0.5416;0.5547;0.8157
03178660;18/07/2014;031786602014071813;0.0159;0.0162;0.0176;0.4239;0.6944;0.5249;0.5583;0.1168;0.3251;0.3551;0.3909;0.8112
03178660;30/06/2015;031786602015063013;0.0395;0.0218;0.0214;0.8555;0.7871;0.4354;0.6564;0.0375;0.485;0.8523;0.5979;0.9099
03178660;05/10/2016;031786602016100513;0.1239;0.0436;0.0086;0.7636;0.6507;0.4325;0.5256;0.1207;0.3963;0.6864;0.5326;0.8438
03178660;06/07/2017;031786602017070613;0.073;0.0206;0.0052;0.8787;0.7344;0.5357;0.6927;0.0208;0.2391;0.7227;0.445;0.8845
03178660;21/06/2018;031786602018062113;0.1218;0.0573;0.0256;0.8394;0.827;0.4944;0.6584;0.0686;0.6667;0.8553;0.5381;0.9051
03178660;09/07/2019;031786602019070913;0.108;0.0633;0.0486;0.705;0.6808;0.4676;0.6472;0.1012;0.5131;0.6664;0.5296;0.7375
03178660;27/05/2020;031786602020052713;0.0924;0.0553;0.0453;0.806;0.7032;0.4917;0.7307;0.0841;0.6488;0.7294;0.4945;0.8829
03178660;07/08/2021;031786602021080713;0.0644;0.0584;0.0248;0.6972;0.5922;0.4965;0.6252;0.0853;0.545;0.6108;0.4133;0.7435
